"key";"ru";"hy-AM"
"legal.privacy.section3.list.item2";"Обработка бронирований и управление вашими заказами";"Ամրագրումներ մշակել և պատվերները կառավարել"
"legal.privacy.section3.list.item3";"Связь с вами по вопросам бронирований и услуг";"Ձեզ հետ հաղորդակցվել՝ ամրագրումների և ծառայությունների վերաբերյալ"
"legal.privacy.section3.list.item4";"Улучшение качества платформы и пользовательского опыта";"Հարթակի որակն ու օգտագործման փորձը բարելավել"
"legal.privacy.section3.list.item5";"Отправка важных уведомлений и обновлений";"Ուղարկել կարևոր ծանուցումներ և թարմացումներ"
"legal.privacy.section3.list.item6";"Предотвращение мошенничества и обеспечение безопасности";"Խարդախությունը կանխել և անվտանգություն ապահովել"
"legal.privacy.section3.list.item7";"Соблюдение юридических обязательств";"Կատարել իրավական պարտավորությունները"
"legal.privacy.section3.title";"3. Как мы используем ваши данные";"3. Ինչպես ենք օգտագործում ձեր տվյալները"
"legal.privacy.section4.subsection1.content";"При бронировании услуги мы передаем поставщику услуги необходимую информацию для выполнения бронирования:";"Ծառայություն ամրագրելիս անհրաժեշտ տեղեկությունները կիսում ենք ծառայություն մատուցողի հետ՝ ամրագրումը կատարելու համար՝"
"legal.privacy.section4.subsection1.list.item1";"Ваше имя и контактные данные";"Ձեր անունը և կոնտակտային տվյալները"
"legal.privacy.section4.subsection1.list.item2";"Детали бронирования (дата, время, услуга)";"Ամրագրման մանրամասներ (ամսաթիվ, ժամ, ծառայություն)"
"legal.privacy.section4.subsection1.list.item3";"Дополнительные пожелания или комментарии";"Լրացուցիչ հարցումներ կամ մեկնաբանություններ"
"legal.privacy.section4.subsection1.title";"4.1. Передача данных поставщикам услуг";"4.1. Կիսում ծառայություն մատուցողների հետ"
"legal.privacy.section4.subsection2.content";"Мы можем передавать данные сторонним сервисам, которые помогают нам в работе платформы (хостинг, аналитика, обработка платежей). Эти провайдеры обязаны защищать ваши данные и использовать их только для предоставления услуг нам.";"Տվյալներ կարող ենք կիսել երրորդ կողմի ծառայությունների հետ, որոնք օգնում են հարթակը շահագործել (հոսթինգ, վերլուծություն, վճարումների մշակում)։ Այս մատակարարները պարտավոր են պաշտպանել ձեր տվյալները և օգտագործել դրանք միայն մեզ ծառայություններ մատուցելու համար։"
"legal.privacy.section4.subsection2.title";"4.2. Передача данных сервисным провайдерам";"4.2. Կիսում մատակարարների հետ"
"legal.privacy.section4.subsection3.content";"Мы можем раскрыть ваши данные, если это требуется по закону или по запросу государственных органов.";"Ձեր տվյալները կարող ենք բացահայտել, եթե դա պահանջում է օրենքը կամ պետական մարմինների հարցումը։"
"legal.privacy.section4.subsection3.title";"4.3. Юридические требования";"4.3. Իրավական պահանջներ"
"legal.privacy.section4.title";"4. Передача данных третьим лицам";"4. Տվյալների կիսում երրորդ կողմերի հետ"
"legal.privacy.section5.content";"Мы храним ваши персональные данные в течение срока, необходимого для выполнения целей, указанных в настоящей политике, или в течение срока, установленного законодательством.";"Անձնական տվյալները պահում ենք այն ժամանակահատվածում, որն անհրաժեշտ է այս քաղաքականությամբ նշված նպատակների իրականացման համար, կամ այն ժամանակահատվածում, որն օրենքը պահանջում է։"
"legal.privacy.section5.note";"После удаления аккаунта мы удаляем или анонимизируем ваши персональные данные, за исключением случаев, когда законодательство требует их сохранения.";"Հաշիվը ջնջելիս ջնջում ենք կամ անանունացնում ենք ձեր անձնական տվյալները, եթե օրենքը չի պահանջում դրանց պահպանումը։"
"legal.privacy.section5.title";"5. Хранение данных";"5. Տվյալների պահպանում"
"legal.privacy.section6.subsection1.content";"Вы имеете право:";"Դուք ունեք իրավունք՝"
"legal.privacy.section6.subsection1.list.item1";"Получать доступ к своим персональным данным";"Մուտք գործել ձեր անձնական տվյալներին"
"legal.privacy.section6.subsection1.list.item2";"Исправлять неточные или неполные данные";"Ուղղել սխալ կամ անլրացուցիչ տվյալները"
"legal.privacy.section6.subsection1.list.item3";"Требовать удаления ваших данных";"Պահանջել ձեր տվյալների ջնջում"
"legal.privacy.section6.subsection1.list.item4";"Ограничивать обработку ваших данных";"Սահմանափակել ձեր տվյալների մշակումը"
"legal.privacy.section6.subsection1.list.item5";"Получать копию ваших данных в структурированном формате";"Ստանալ ձեր տվյալների պատճենը կառուցված ձևաչափով"
"legal.privacy.section6.subsection1.list.item6";"Отозвать согласие на обработку данных";"Հետ կանչել տվյալների մշակման համաձայնությունը"
"legal.privacy.section6.subsection1.title";"6.1. Общие права";"6.1. Ընդհանուր իրավունքներ"
"legal.privacy.section6.subsection2.content";"Если вы являетесь жителем Калифорнии, вы имеете дополнительные права в соответствии с CCPA:";"Եթե Կալիֆորնիայի բնակիչ եք, CCPA-ի համաձայն ունեք լրացուցիչ իրավունքներ՝"
"legal.privacy.section6.subsection2.list.item1";"Право знать, какие персональные данные собираются и как они используются";"Իմանալ, թե ինչ անձնական տվյալներ են հավաքվում և ինչպես են օգտագործվում"
"legal.privacy.section6.subsection2.list.item2";"Право знать, продаются ли ваши данные третьим лицам";"Իմանալ, թե արդյոք ձեր տվյալները վաճառվում են երրորդ կողմերի"
"legal.privacy.section6.subsection2.list.item3";"Право отказаться от продажи персональных данных";"Հրաժարվել անձնական տվյալների վաճառքից"
"legal.privacy.section6.subsection2.list.item4";"Право на недискриминацию за осуществление ваших прав";"Չկրել խտրականություն ձեր իրավունքներն իրականացնելու համար"
"legal.privacy.section6.subsection2.list.item5";"Право на удаление персональных данных (с некоторыми исключениями)";"Ջնջել անձնական տվյալները (ոման բացառություններով)"
"legal.privacy.section6.subsection2.note";"Для реализации ваших прав, включая права CCPA, свяжитесь с нами через форму обратной связи на платформе или используйте специальную форму для запросов CCPA.";"Ձեր իրավունքներն իրականացնելու համար, ներառյալ CCPA-ի իրավունքները, կապվեք հարթակի հետադարձ կապի ձևով կամ օգտագործեք հատուկ CCPA հարցման ձևը։"
"legal.privacy.section6.subsection2.title";"6.2. Права калифорнийских потребителей (CCPA)";"6.2. Կալիֆորնիայի սպառողի իրավունքներ (CCPA)"
"legal.privacy.section6.title";"6. Ваши права";"6. Ձեր իրավունքները"
"legal.privacy.section7.content";"Мы применяем современные технические и организационные меры для защиты ваших данных от несанкционированного доступа, изменения, раскрытия или уничтожения:";"Կիրառում ենք ժամանակակից տեխնիկական և կազմակերպչական միջոցներ՝ ձեր տվյալները պաշտպանելու համար չարտոնված մուտքից, փոփոխությունից, բացահայտումից կամ ոչնչացումից՝"
"legal.privacy.section7.list.item1";"Шифрование данных при передаче";"Տվյալների գաղտնագրում փոխանցման ժամանակ"
"legal.privacy.section7.list.item2";"Безопасное хранение данных";"Անվտանգ պահպանում"
"legal.privacy.section7.list.item3";"Ограниченный доступ к данным только для уполномоченных сотрудников";"Մուտքի սահմանափակում միայն լիազորված աշխատակիցների համար"
"legal.privacy.section7.list.item4";"Регулярный мониторинг и обновление систем безопасности";"Անվտանգության համակարգերի կանոնավոր մոնիտորինգ և թարմացում"
"legal.privacy.section7.title";"7. Безопасность данных";"7. Տվյալների անվտանգություն"
"legal.privacy.section8.content";"Мы используем cookies и аналогичные технологии для улучшения работы платформы, анализа использования и персонализации контента. Подробная информация о cookies представлена в нашей <a href=""/cookies"" className=""text-blue-600 dark:text-blue-400 hover:underline"">Политике Cookie</a>.";"Օգտագործում ենք թխուկներ և նմանատիպ տեխնոլոգիաներ՝ հարթակի աշխատանքը բարելավելու, օգտագործումը վերլուծելու և բովանդակությունը անհատականացնելու համար։ Թխուկների մանրամասն տեղեկությունը հասանելի է մեր <a href=""/cookies"" className=""text-blue-600 dark:text-blue-400 hover:underline"">Թխուկների քաղաքականություն</a>ում։"
"legal.privacy.section8.note";"В соответствии с требованиями законодательства США, мы предоставляем возможность управления cookies через настройки браузера и уведомления о использовании cookies.";"ԱՄՆ իրավական պահանջների համաձայն տալիս ենք թխուկները կառավարելու հնարավորություն՝ դիտարկիչի կարգավորումների և թխուկների օգտագործման ծանուցումների միջոցով։"
"legal.privacy.section8.title";"8. Cookies и трекинг";"8. Թխուկներ և հետևում"
"legal.privacy.section9.content";"Наша платформа не предназначена для детей младше 13 лет. Мы сознательно не собираем персональные данные от детей младше 13 лет без согласия родителей в соответствии с COPPA (Children's Online Privacy Protection Act).";"Մեր հարթակը նախատեսված չէ 13 տարեկանից ցածր երեխաների համար։ Մենք գիտակցաբար չենք հավաքում 13 տարեկանից ցածր երեխաների անձնական տվյալներ՝ ծնողի համաձայնությունից բացի, COPPA (Children's Online Privacy Protection Act) համաձայն։"
"legal.privacy.section9.note";"Если вы являетесь родителем или опекуном и считаете, что ваш ребенок предоставил нам персональные данные, пожалуйста, свяжитесь с нами для удаления такой информации.";"Եթե ծնող կամ խնամակալ եք և կարծում եք, որ ձեր երեխան տրամադրել է անձնական տվյալներ, կապվեք մեզ հետ՝ այդ տեղեկությունը հեռացնելու համար։"
"legal.privacy.section9.title";"9. Защита данных детей (COPPA)";"9. Երեխաների գաղտնիություն (COPPA)"
"legal.privacy.title";"Политика конфиденциальности";"Գաղտնիության քաղաքականություն"
"legal.terms.lastUpdate";"Последнее обновление";"Վերջին թարմացում"
"legal.terms.section1.content1";"Добро пожаловать на платформу REXTEN Marketplace — маркетплейс услуг, который объединяет клиентов и поставщиков услуг в США. Используя наш сервис, вы соглашаетесь с настоящими условиями использования, которые регулируются законодательством США.";"Բարի գալուստ REXTEN Marketplace հարթակ — ծառայությունների շուկա, որը կապում է հաճախորդներին և ծառայություն մատուցողներին ԱՄՆ-ում։ Օգտագործելով մեր ծառայությունը՝ համաձայն եք այս Օգտագործման պայմաններին, որոնք կարգավորվում են ԱՄՆ օրենքով։"
"legal.terms.section1.content2";"Платформа REXTEN Marketplace предоставляет возможность поиска, бронирования и получения различных услуг от зарегистрированных на платформе бизнесов и специалистов. Настоящие условия применяются ко всем пользователям платформы, включая жителей всех штатов США, включая Калифорнию.";"REXTEN Marketplace հարթակը տալիս է հնարավորություն որոնել, ամրագրել և ստանալ տարբեր ծառայություններ հարթակում գրանցված բիզնեսներից և մասնագետներից։ Այս պայմանները վերաբերում են հարթակի բոլոր օգտատերերին, ներառյալ ԱՄՆ բոլոր նահանգների բնակիչներին, ներառյալ Կալիֆորնիան։"
"legal.terms.section1.title";"1. Общие положения";"1. Ընդհանուր դրույթներ"
"legal.terms.section2.subsection1.content";"Для использования платформы в качестве клиента вы можете:";"Հաճախորդի կարգավիճակով հարթակը օգտագործելու համար կարող եք՝"
"legal.terms.section2.subsection1.list.item1";"Зарегистрировать аккаунт, предоставив достоверную информацию";"Գրանցել հաշիվ՝ տրամադրելով ճիշտ տեղեկություն"
"legal.terms.section2.subsection1.list.item2";"Использовать платформу без регистрации для просмотра услуг и бронирования";"Օգտագործել հարթակը առանց գրանցման՝ ծառայություններ դիտելու և ամրագրելու համար"
"legal.terms.section2.subsection1.list.item3";"Оставлять отзывы о полученных услугах";"Թողնել կարծիքներ ստացած ծառայությունների մասին"
"legal.terms.section2.subsection1.title";"2.1. Регистрация клиента";"2.1. Հաճախորդի գրանցում"
"legal.terms.section2.subsection2.list.item1";"Предоставлять достоверную и актуальную информацию";"Տրամադրել ճիշտ և արդի տեղեկություն"
"legal.terms.section2.subsection2.list.item2";"Не передавать данные своего аккаунта третьим лицам";"Չփոխանցել հաշվի մուտքի տվյալները երրորդ անձանց"
"legal.terms.section2.subsection2.list.item3";"Соблюдать правила платформы и законодательство";"Պահպանել հարթակի կանոնները և օրենսդրությունը"
"legal.terms.section2.subsection2.list.item4";"Не использовать платформу для незаконных целей";"Չօգտագործել հարթակը ապօրինի նպատակներով"
"legal.terms.section2.subsection2.title";"2.2. Обязанности пользователя";"2.2. Օգտատիրոջ պարտավորություններ"
"legal.terms.section2.title";"2. Регистрация и использование аккаунта";"2. Հաշվի գրանցում և օգտագործում"
"legal.terms.section3.subsection1.content";"Платформа предоставляет возможность поиска услуг по различным критериям: категориям, местоположению, рейтингу, цене и другим параметрам.";"Հարթակը տալիս է ծառայություններ որոնելու հնարավորություն տարբեր չափանիշներով՝ կատեգորիաներ, տեղադրություն, գնահատական, գին և այլ պարամետրեր։"
"legal.terms.section3.subsection1.title";"3.1. Поиск услуг";"3.1. Ծառայությունների որոնում"
"legal.terms.section3.subsection2.content";"При бронировании услуги вы соглашаетесь с условиями, указанными поставщиком услуги. Бронирование создает обязательства между вами и поставщиком услуги. Платформа выступает только как посредник, облегчающий поиск и бронирование.";"Ծառայություն ամրագրելիս համաձայն եք ծառայություն մատուցողի կողմից նշված պայմաններին։ Ամրագրումը ստեղծում է պարտավորություններ ձեզ և ծառայություն մատուցողի միջև։ Հարթակը գործում է միայն որպես միջնորդ՝ որոնումն ու ամրագրումը հեշտացնելու համար։"
"legal.terms.section3.subsection2.title";"3.2. Бронирование";"3.2. Ամրագրում"
"legal.terms.section3.subsection3.content";"Условия отмены бронирования определяются политикой конкретного поставщика услуги. Рекомендуем уточнять условия отмены перед подтверждением бронирования.";"Չեղարկման պայմանները որոշվում են կոնկրետ ծառայություն մատուցողի քաղաքականությամբ։ Խորհուրդ ենք տալիս ստուգել չեղարկման պայմանները՝ նախքան ամրագրումը հաստատելը։"
"legal.terms.section3.subsection3.title";"3.3. Отмена бронирования";"3.3. Ամրագրման չեղարկում"
"legal.terms.section3.title";"3. Поиск и бронирование услуг";"3. Ծառայությունների որոնում և ամրագրում"
"legal.terms.section4.content";"После получения услуги вы можете оставить отзыв о качестве обслуживания. Отзывы должны:";"Ծառայություն ստանալուց հետո կարող եք թողնել կարծիք ծառայության որակի մասին։ Կարծիքները պետք է՝"
"legal.terms.section4.list.item1";"Быть основаны на реальном опыте использования услуги";"Հիմնված լինեն իրական փորձի վրա"
"legal.terms.section4.list.item2";"Быть объективными и конструктивными";"Օբյեկտիվ և կառուցողական լինեն"
"legal.terms.section4.list.item3";"Не содержать оскорблений, клеветы или ложной информации";"Չպարունակեն վիրավորանք, զրպարտություն կամ կեղծ տեղեկություն"
"legal.terms.section4.list.item4";"Соответствовать правилам сообщества";"Համապատասխանեն համայնքի կանոններին"
"legal.terms.section4.note";"Платформа оставляет за собой право модерировать и удалять отзывы, нарушающие правила использования.";"Հարթակը իրավունք է վերապահում մոդերացիա կատարել և հեռացնել օգտագործման կանոնները խախտող կարծիքները։"
"legal.terms.section4.title";"4. Система отзывов";"4. Կարծիքների համակարգ"
"legal.terms.section5.subsection1.content";"REXTEN Marketplace предоставляет платформу для взаимодействия между клиентами и поставщиками услуг. Платформа не несет ответственности за качество предоставляемых услуг, действия поставщиков услуг или результаты использования услуг.";"REXTEN Marketplace-ը տալիս է հարթակ հաճախորդների և ծառայություն մատուցողների փոխազդեցության համար։ Հարթակը պատասխանատու չէ մատուցված ծառայությունների որակի, ծառայություն մատուցողների գործողությունների կամ ծառայությունից օգտվելու արդյունքների համար։"
"legal.terms.section5.subsection1.title";"5.1. Ответственность платформы";"5.1. Հարթակի պատասխանատվություն"
"legal.terms.section5.subsection2.content";"Вы несете ответственность за достоверность предоставленной информации, соблюдение условий бронирования и своевременную оплату услуг (если применимо).";"Դուք պատասխանատու եք տրամադրված տեղեկության ճշգրտության, ամրագրման պայմանների պահպանման և ժամանակին վճարման համար (եթե կիրառելի է)։"
"legal.terms.section5.subsection2.title";"5.2. Ответственность пользователя";"5.2. Օգտատիրոջ պատասխանատվություն"
"legal.terms.section5.subsection3.content";"Поставщик услуги несет полную ответственность за качество предоставляемых услуг, соблюдение договоренностей и выполнение обязательств перед клиентом.";"Ծառայություն մատուցողը լիովին պատասխանատու է մատուցված ծառայությունների որակի, համաձայնությունների պահպանման և հաճախորդի նկատմամբ պարտավորությունների կատարման համար։"
"legal.terms.section5.subsection3.title";"5.3. Ответственность поставщика услуги";"5.3. ծառայություն մատուցողի պատասխանատվություն"
"legal.terms.section5.title";"5. Ответственность сторон";"5. Կողմերի պատասխանատվություն"
"legal.terms.title";"Условия использования";"Օգտագործման պայմաններ"
"maintenance.description";"Сайт временно недоступен. Зайдите позже или войдите в аккаунт, если у вас есть доступ.";"Կայքը ժամանակավորապես անհասանելի է։ Խնդրում ենք փորձել ավելի ուշ կամ մուտք գործել, եթե ունեք մուտքի իրավունք։"
"maintenance.refresh";"Обновить страницу";"Թարմացնել էջը"
"maintenance.signIn";"Вход";"Մուտք"
"maintenance.title";"Техническое обслуживание";"Տեխնիկական սպասարկում"
"nav.authentication.authentication";"Authentication";"Նույնականացում"
"nav.authentication.forgotPassword";"Forgot Password";"Մոռացված գաղտնաբառ"
"nav.authentication.forgotPasswordSide";"Side";"Կողմ"
"nav.authentication.forgotPasswordSimple";"Simple";"Պարզ"
"nav.authentication.forgotPasswordSplit";"Split";"Բաժանված"
"nav.authentication.otpVerification";"Otp Verification";"OTP հաստատում"
"nav.authentication.otpVerificationSide";"Side";"Կողմ"
"nav.authentication.otpVerificationSimple";"Simple";"Պարզ"
"nav.authentication.otpVerificationSplit";"Split";"Բաժանված"
"nav.authentication.resetPassword";"Reset Password";"Գաղտնաբառի վերակայում"
"nav.authentication.resetPasswordSide";"Side";"Կողմ"
"nav.authentication.resetPasswordSimple";"Simple";"Պարզ"
"nav.authentication.resetPasswordSplit";"Split";"Բաժանված"
"nav.authentication.signIn";"Sign In";"Մուտք"
"nav.authentication.signInSide";"Side";"Կողմ"
"nav.authentication.signInSimple";"Simple";"Պարզ"
"nav.authentication.signInSplit";"Split";"Բաժանված"
"nav.authentication.signUp";"Sign Up";"Գրանցում"
"nav.authentication.signUpSide";"Side";"Կողմ"
"nav.authentication.signUpSimple";"Simple";"Պարզ"
"nav.authentication.signUpSplit";"Split";"Բաժանված"
"nav.business.advertisements.ads";"Рекламные объявления";"Գովազդ"
"nav.business.advertisements.advertisements";"Объявления";"Հայտարարություններ"
"nav.business.advertisements.list";"Мои объявления";"Իմ հայտարարությունները"
"nav.business.billing";"Биллинг";"Վճարումներ"
"nav.business.business";"Бизнес";"Բիզնես"
"nav.business.businessDesc";"Панель управления бизнесом";"Բիզնեսի կառավարման վահանակ"
"nav.business.clients";"Клиенты";"Հաճախորդներ"
"nav.business.dashboard";"Дашборд";"Վահանակ"
"nav.business.discounts";"Скидки";"Զեղչեր"
"nav.business.reports";"Отчёты";"Հաշվետվություններ"
"nav.business.reviews";"Отзывы";"Կարծիքներ"
"nav.business.schedule.reports.bookings.byPeriod";"Динамика бронирований";"Ամրագրումների դինամիկա"
"nav.business.schedule.reports.bookings.byStatus";"Распределение по статусам";"Բաշխում ըստ կարգավիճակի"
"nav.business.schedule.reports.bookings.title";"Отчеты по бронированиям";"Ամրագրումների հաշվետվություններ"
"nav.business.schedule.reports.bookings.topServices";"Топ услуг";"Լավագույն ծառայություններ"
"nav.business.schedule.reports.clients.newClients";"Новые клиенты";"Նոր հաճախորդներ"
"nav.business.schedule.reports.clients.title";"Отчеты по клиентам";"Հաճախորդների հաշվետվություններ"
"nav.business.schedule.reports.clients.topByBookings";"Топ клиентов по бронированиям";"Լավագույն հաճախորդներ՝ ըստ ամրագրումների"
"nav.business.schedule.reports.clients.topByRevenue";"Топ клиентов по доходу";"Լավագույն հաճախորդներ՝ ըստ եկամտի"
"nav.business.schedule.reports.description";"Детальная аналитика по бронированиям, клиентам, заработку и исполнителям. Экспортируйте данные для дальнейшего анализа.";"Մանրամասն վերլուծություն ամրագրումների, հաճախորդների, եկամտի և մասնագետների մասին։ Արտահանեք տվյալները հետագա վերլուծության համար։"
"nav.business.schedule.reports.export.download";"Скачать отчёт";"Ներբեռնել հաշվետվությունը"
"nav.business.schedule.reports.export.error";"Ошибка при экспорте";"Արտահանման սխալ"
"nav.business.schedule.reports.filters.dateFrom";"Дата начала";"Սկզբի ամսաթիվ"
"nav.business.schedule.reports.filters.dateTo";"Дата окончания";"Վերջի ամսաթիվ"
"nav.business.schedule.reports.filters.month";"Месяц";"Ամիս"
"nav.business.schedule.reports.filters.period";"Период";"Ժամանակաշրջան"
"nav.business.schedule.reports.filters.quarter";"Квартал";"Եռամսյակ"
"nav.business.schedule.reports.filters.reset";"Сбросить";"Վերակայել"
"nav.business.schedule.reports.filters.selectPeriod";"Выберите период";"Ընտրել ժամանակաշրջան"
"nav.business.schedule.reports.filters.today";"Сегодня";"Այսօր"
"nav.business.schedule.reports.filters.week";"Неделя";"Շաբաթ"
"nav.business.schedule.reports.filters.year";"Год";"Տարի"
"nav.business.schedule.reports.overview.activeBookings";"Активных";"Ակտիվ"
"nav.business.schedule.reports.overview.activeSpecialists";"Активных исполнителей";"Ակտիվ մասնագետներ"
"nav.business.schedule.reports.overview.averageCheck";"Средний чек";"Միջին չեկ"
"nav.business.schedule.reports.overview.cancelledBookings";"Отменено";"Չեղարկված"
"nav.business.schedule.reports.overview.completedBookings";"Завершено";"Ավարտված"
"nav.business.schedule.reports.overview.revenueInWork";"Доход в работе";"Եկամուտ գործընթացում"
"nav.business.schedule.reports.overview.title";"Общая статистика";"Ընդհանուր"
"nav.business.schedule.reports.overview.totalBookings";"Всего бронирований";"Ընդհանուր ամրագրումներ"
"nav.business.schedule.reports.overview.totalRevenue";"Общий заработок";"Ընդհանուր եկամուտ"
"nav.business.schedule.reports.overview.uniqueClients";"Уникальных клиентов";"Յուրահատուկ հաճախորդներ"
"nav.business.schedule.reports.revenue.byPeriod";"Динамика доходов";"Եկամտի դինամիկա"
"nav.business.schedule.reports.revenue.byService";"По услугам";"Եկամուտ ըստ ծառայության"
"nav.business.schedule.reports.revenue.bySpecialist";"По исполнителям";"Եկամուտ ըստ մասնագետի"
"nav.business.schedule.reports.revenue.title";"Отчеты по заработку";"Եկամտի հաշվետվություններ"
"nav.business.schedule.reports.specialists.active";"Активных";"Ակտիվ"
"nav.business.schedule.reports.specialists.averageCheck";"Средний чек";"Միջին չեկ"
"nav.business.schedule.reports.specialists.bookingsCount";"Бронирований";"Ամրագրումներ"
"nav.business.schedule.reports.specialists.cancellations";"Отмен";"Չեղարկումներ"
"nav.business.schedule.reports.specialists.completed";"Завершено";"Ավարտված"
"nav.business.schedule.reports.specialists.revenue";"Заработок";"Եկամուտ"
"nav.business.schedule.reports.specialists.title";"Отчеты по исполнителям";"Մասնագետների հաշվետվություններ"
"nav.business.schedule.reports.table.amount";"Сумма";"Գումար"
"nav.business.schedule.reports.table.client";"Клиент";"Հաճախորդ"
"nav.business.schedule.reports.table.date";"Дата";"Ամսաթիվ"
"nav.business.schedule.reports.table.number";"#";"#"
"nav.business.schedule.reports.table.service";"Услуга";"Ծառայություն"
"nav.business.schedule.reports.table.specialist";"Исполнитель";"Մասնագետ"
"nav.business.schedule.reports.table.status";"Статус";"Կարգավիճակ"
"nav.business.schedule.reports.table.time";"Время";"Ժամ"
"nav.business.schedule.reports.title";"Отчеты";"Հաշվետվություններ"
"nav.business.schedule.schedule";"Расписание";"Ժամանակացույց"
"nav.business.settings";"Настройки";"Կարգավորումներ"
"nav.calendar";"Календарь";"Օրացույց"
"nav.calendarDesc";"Расписание и события";"Ժամանակացույց և իրադարձություններ"
"nav.chat";"Чат";"Չաթ"
"nav.chatDesc";"Чат с друзьями";"Չաթ ընկերների հետ"
"nav.concepts";"Концепты";"Գաղափարներ"
"nav.conceptsAccount.account";"Аккаунт";"Հաշիվ"
"nav.conceptsAccount.accountDesc";"Настройки и информация аккаунта";"Հաշվի կարգավորումներ և տեղեկություն"
"nav.conceptsAccount.activityLog";"Журнал активности";"Ակտիվության մատյան"
"nav.conceptsAccount.activityLogDesc";"Просмотр недавней активности";"Դիտել վերջին գործողությունները"
"nav.conceptsAccount.pricing";"Цены";"Գնացուցակ"
"nav.conceptsAccount.pricingDesc";"Просмотр тарифных планов";"Դիտել գնային պլանները"
"nav.conceptsAccount.rolesPermissions";"Роли и права";"Դերեր և իրավունքներ"
"nav.conceptsAccount.rolesPermissionsDesc";"Управление ролями и правами";"Կառավարել դերերն ու իրավունքները"
"nav.conceptsAccount.settings";"Настройки";"Կարգավորումներ"
"nav.conceptsAccount.settingsDesc";"Настройка параметров";"Կարգավորել ձեր պարամետրերը"
"nav.conceptsAi.ai";"ИИ";"AI"
"nav.conceptsAi.aiDesc";"Инструменты и ресурсы ИИ";"AI գործիքներ և ռեսուրսներ"
"nav.conceptsAi.chat";"Чат";"Չաթ"
"nav.conceptsAi.chatDesc";"Чат-системы на основе ИИ";"AI-ով աշխատող չաթ համակարգեր"
"nav.conceptsAi.image";"Изображения";"Պատկեր"
"nav.conceptsAi.imageDesc";"Обработка изображений ИИ";"AI պատկերների մշակում"
"nav.conceptsCustomers.customerCreate";"Создать";"Ստեղծել"
"nav.conceptsCustomers.customerCreateDesc";"Добавить нового клиента";"Ավելացնել նոր հաճախորդ"
"nav.conceptsCustomers.customerDetails";"Детали";"Մանրամասներ"
"nav.conceptsCustomers.customerDetailsDesc";"Подробная информация о клиенте";"Մանրամասնական տեղեկություն հաճախորդի մասին"
"nav.conceptsCustomers.customerEdit";"Редактировать";"Խմբագրել"
"nav.conceptsCustomers.customerEditDesc";"Редактировать информацию о клиенте";"Խմբագրել հաճախորդի տվյալները"
"nav.conceptsCustomers.customerList";"Список";"Ցանկ"
"nav.conceptsCustomers.customerListDesc";"Список всех клиентов";"Բոլոր հաճախորդների ցանկ"
"nav.conceptsCustomers.customers";"Клиенты";"Հաճախորդ"
"nav.conceptsCustomers.customersDesc";"Управление клиентами";"Հաճախորդների կառավարում"
"nav.conceptsHelpCenter.article";"Статья";"Հոդված"
"nav.conceptsHelpCenter.articleDesc";"Читать статьи поддержки";"Կարդալ աջակցության հոդվածներ"
"nav.conceptsHelpCenter.editArticle";"Редактировать статью";"Խմբագրել հոդվածը"
"nav.conceptsHelpCenter.editArticleDesc";"Изменение содержимого статьи";"Փոխել հոդվածի բովանդակությունը"
"nav.conceptsHelpCenter.faq";"FAQ";"ՀՏՀ"
"nav.conceptsHelpCenter.helpCenter";"Центр помощи";"Օգնության կենտրոն"
"nav.conceptsHelpCenter.helpCenterDesc";"Поддержка и статьи";"Աջակցություն և հոդվածներ"
"nav.conceptsHelpCenter.manageArticle";"Управление статьями";"Կառավարել հոդվածը"
"nav.conceptsHelpCenter.manageArticleDesc";"Управление статьями";"Հոդվածների կառավարում"
"nav.conceptsHelpCenter.supportHub";"Центр поддержки";"Աջակցության կենտրոն"
"nav.conceptsHelpCenter.supportHubDesc";"Центральный хаб поддержки";"Կենտրոնացված աջակցության կենտրոն"
"nav.conceptsOrders.orderCreate";"Создать";"Ստեղծել"
"nav.conceptsOrders.orderCreateDesc";"Создать новый заказ";"Ստեղծել նոր պատվեր"
"nav.conceptsOrders.orderDetails";"Детали";"Մանրամասներ"
"nav.conceptsOrders.orderDetailsDesc";"Подробная информация о заказе";"Մանրամասնական պատվերի տեղեկություն"
"nav.conceptsOrders.orderEdit";"Редактировать";"Խմբագրել"
"nav.conceptsOrders.orderEditDesc";"Редактировать заказ";"Խմբագրել պատվերի մանրամասները"
"nav.conceptsOrders.orderList";"Список";"Ցանկ"
"nav.conceptsOrders.orderListDesc";"Просмотр всех заказов";"Դիտել բոլոր հաճախորդների պատվերները"
"nav.conceptsOrders.orders";"Заказы";"Պատվերներ"
"nav.conceptsOrders.ordersDesc";"Управление заказами клиентов";"Հաճախորդների պատվերների կառավարում"
"nav.conceptsProducts.productCreate";"Создать";"Ստեղծել"
"nav.conceptsProducts.productCreateDesc";"Добавить новый товар";"Ավելացնել նոր ապրանք"
"nav.conceptsProducts.productEdit";"Редактировать";"Խմբագրել"
"nav.conceptsProducts.productEditDesc";"Редактировать товар";"Խմբագրել ապրանքի մանրամասները"
"nav.conceptsProducts.productList";"Список";"Ցանկ"
"nav.conceptsProducts.productListDesc";"Все товары";"Բոլոր ապրանքները ցուցադրված"
"nav.conceptsProducts.products";"Товары";"Ապրանքներ"
"nav.conceptsProducts.productsDesc";"Управление товарами";"Ապրանքների պահեստի կառավարում"
