"key";"ru";"es-MX"
"legal.privacy.section6.subsection2.list.item3";"Право отказаться от продажи персональных данных";"Oponerte a la venta de datos personales"
"legal.privacy.section6.subsection2.list.item4";"Право на недискриминацию за осуществление ваших прав";"No ser discriminado por ejercer tus derechos"
"legal.privacy.section6.subsection2.list.item5";"Право на удаление персональных данных (с некоторыми исключениями)";"Solicitar la eliminación de datos personales (con excepciones)"
"legal.privacy.section6.subsection2.note";"Для реализации ваших прав, включая права CCPA, свяжитесь с нами через форму обратной связи на платформе или используйте специальную форму для запросов CCPA.";"Para ejercer tus derechos, incluidos los de la CCPA, contáctanos por el formulario de la plataforma o el formulario dedicado de solicitudes CCPA."
"legal.privacy.section6.subsection2.title";"6.2. Права калифорнийских потребителей (CCPA)";"6.2. Derechos del consumidor en California (CCPA)"
"legal.privacy.section6.title";"6. Ваши права";"6. Tus derechos"
"legal.privacy.section7.content";"Мы применяем современные технические и организационные меры для защиты ваших данных от несанкционированного доступа, изменения, раскрытия или уничтожения:";"Aplicamos medidas técnicas y organizativas para proteger tus datos contra acceso no autorizado, alteración, divulgación o destrucción:"
"legal.privacy.section7.list.item1";"Шифрование данных при передаче";"Cifrado de datos en tránsito"
"legal.privacy.section7.list.item2";"Безопасное хранение данных";"Almacenamiento seguro"
"legal.privacy.section7.list.item3";"Ограниченный доступ к данным только для уполномоченных сотрудников";"Acceso restringido solo a personal autorizado"
"legal.privacy.section7.list.item4";"Регулярный мониторинг и обновление систем безопасности";"Monitoreo y actualización periódica de la seguridad"
"legal.privacy.section7.title";"7. Безопасность данных";"7. Seguridad de los datos"
"legal.privacy.section8.content";"Мы используем cookies и аналогичные технологии для улучшения работы платформы, анализа использования и персонализации контента. Подробная информация о cookies представлена в нашей <a href=""/cookies"" className=""text-blue-600 dark:text-blue-400 hover:underline"">Политике Cookie</a>.";"Usamos cookies y tecnologías similares para mejorar el rendimiento, analizar el uso y personalizar contenido. Más información en nuestra <a href=""/cookies"" className=""text-blue-600 dark:text-blue-400 hover:underline"">Política de cookies</a>."
"legal.privacy.section8.note";"В соответствии с требованиями законодательства США, мы предоставляем возможность управления cookies через настройки браузера и уведомления о использовании cookies.";"Conforme a la ley de EE. UU., ofrecemos opciones para administrar cookies mediante el navegador y avisos de uso de cookies."
"legal.privacy.section8.title";"8. Cookies и трекинг";"8. Cookies y seguimiento"
"legal.privacy.section9.content";"Наша платформа не предназначена для детей младше 13 лет. Мы сознательно не собираем персональные данные от детей младше 13 лет без согласия родителей в соответствии с COPPA (Children's Online Privacy Protection Act).";"La plataforma no está dirigida a menores de 13 años. No recopilamos a sabiendas datos personales de menores de 13 sin consentimiento parental, conforme a COPPA."
"legal.privacy.section9.note";"Если вы являетесь родителем или опекуном и считаете, что ваш ребенок предоставил нам персональные данные, пожалуйста, свяжитесь с нами для удаления такой информации.";"Si eres padre, madre o tutor y crees que un menor nos proporcionó datos, contáctanos para eliminarlos."
"legal.privacy.section9.title";"9. Защита данных детей (COPPA)";"9. Privacidad infantil (COPPA)"
"legal.privacy.title";"Политика конфиденциальности";"Aviso de privacidad"
"legal.terms.lastUpdate";"Последнее обновление";"Última actualización"
"legal.terms.section1.content1";"Добро пожаловать на платформу REXTEN Marketplace — маркетплейс услуг, который объединяет клиентов и поставщиков услуг в США. Используя наш сервис, вы соглашаетесь с настоящими условиями использования, которые регулируются законодательством США.";"Bienvenido a REXTEN Marketplace, un mercado de servicios que conecta clientes y proveedores en EE. UU. Al usar el servicio aceptas estos Términos del servicio, regidos por la ley de Estados Unidos."
"legal.terms.section1.content2";"Платформа REXTEN Marketplace предоставляет возможность поиска, бронирования и получения различных услуг от зарегистрированных на платформе бизнесов и специалистов. Настоящие условия применяются ко всем пользователям платформы, включая жителей всех штатов США, включая Калифорнию.";"REXTEN Marketplace permite buscar, reservar y recibir diversos servicios de negocios y profesionales registrados. Estos términos aplican a todos los usuarios, residentes de cualquier estado de EE. UU., incluida California."
"legal.terms.section1.title";"1. Общие положения";"1. Disposiciones generales"
"legal.terms.section2.subsection1.content";"Для использования платформы в качестве клиента вы можете:";"Para usar la plataforma como cliente puedes:"
"legal.terms.section2.subsection1.list.item1";"Зарегистрировать аккаунт, предоставив достоверную информацию";"Crear una cuenta con información veraz"
"legal.terms.section2.subsection1.list.item2";"Использовать платформу без регистрации для просмотра услуг и бронирования";"Usar la plataforma sin registrarte para explorar servicios y reservar"
"legal.terms.section2.subsection1.list.item3";"Оставлять отзывы о полученных услугах";"Dejar reseñas sobre los servicios recibidos"
"legal.terms.section2.subsection1.title";"2.1. Регистрация клиента";"2.1. Registro como cliente"
"legal.terms.section2.subsection2.list.item1";"Предоставлять достоверную и актуальную информацию";"Proporcionar información exacta y actualizada"
"legal.terms.section2.subsection2.list.item2";"Не передавать данные своего аккаунта третьим лицам";"No compartir credenciales de la cuenta con terceros"
"legal.terms.section2.subsection2.list.item3";"Соблюдать правила платформы и законодательство";"Cumplir las reglas de la plataforma y la legislación"
"legal.terms.section2.subsection2.list.item4";"Не использовать платформу для незаконных целей";"No usar la plataforma con fines ilícitos"
"legal.terms.section2.subsection2.title";"2.2. Обязанности пользователя";"2.2. Obligaciones del usuario"
"legal.terms.section2.title";"2. Регистрация и использование аккаунта";"2. Registro y uso de la cuenta"
"legal.terms.section3.subsection1.content";"Платформа предоставляет возможность поиска услуг по различным критериям: категориям, местоположению, рейтингу, цене и другим параметрам.";"La plataforma ofrece búsqueda por categoría, ubicación, calificación, precio y otros criterios."
"legal.terms.section3.subsection1.title";"3.1. Поиск услуг";"3.1. Búsqueda"
"legal.terms.section3.subsection2.content";"При бронировании услуги вы соглашаетесь с условиями, указанными поставщиком услуги. Бронирование создает обязательства между вами и поставщиком услуги. Платформа выступает только как посредник, облегчающий поиск и бронирование.";"Al reservar aceptas las condiciones del proveedor. La reserva genera obligaciones entre tú y el proveedor. La plataforma solo facilita la búsqueda y la reserva como intermediario."
"legal.terms.section3.subsection2.title";"3.2. Бронирование";"3.2. Reserva"
"legal.terms.section3.subsection3.content";"Условия отмены бронирования определяются политикой конкретного поставщика услуги. Рекомендуем уточнять условия отмены перед подтверждением бронирования.";"Las condiciones de cancelación las define cada proveedor. Revisa la política de cancelación antes de confirmar."
"legal.terms.section3.subsection3.title";"3.3. Отмена бронирования";"3.3. Cancelación"
"legal.terms.section3.title";"3. Поиск и бронирование услуг";"3. Búsqueda y reserva de servicios"
"legal.terms.section4.content";"После получения услуги вы можете оставить отзыв о качестве обслуживания. Отзывы должны:";"Tras recibir un servicio puedes dejar una reseña. Las reseñas deben:"
"legal.terms.section4.list.item1";"Быть основаны на реальном опыте использования услуги";"Basarse en experiencia real"
"legal.terms.section4.list.item2";"Быть объективными и конструктивными";"Ser objetivas y constructivas"
"legal.terms.section4.list.item3";"Не содержать оскорблений, клеветы или ложной информации";"No incluir insultos, difamación ni información falsa"
"legal.terms.section4.list.item4";"Соответствовать правилам сообщества";"Cumplir las normas de la comunidad"
"legal.terms.section4.note";"Платформа оставляет за собой право модерировать и удалять отзывы, нарушающие правила использования.";"La plataforma puede moderar y eliminar reseñas que infrinjan las reglas."
"legal.terms.section4.title";"4. Система отзывов";"4. Sistema de reseñas"
"legal.terms.section5.subsection1.content";"REXTEN Marketplace предоставляет платформу для взаимодействия между клиентами и поставщиками услуг. Платформа не несет ответственности за качество предоставляемых услуг, действия поставщиков услуг или результаты использования услуг.";"REXTEN Marketplace ofrece un espacio de interacción entre clientes y proveedores. No somos responsables de la calidad de los servicios, las acciones de los proveedores ni los resultados del uso de los servicios."
"legal.terms.section5.subsection1.title";"5.1. Ответственность платформы";"5.1. Responsabilidad de la plataforma"
"legal.terms.section5.subsection2.content";"Вы несете ответственность за достоверность предоставленной информации, соблюдение условий бронирования и своевременную оплату услуг (если применимо).";"Eres responsable de la veracidad de la información, del cumplimiento de las condiciones de la reserva y del pago oportuno cuando corresponda."
"legal.terms.section5.subsection2.title";"5.2. Ответственность пользователя";"5.2. Responsabilidad del usuario"
"legal.terms.section5.subsection3.content";"Поставщик услуги несет полную ответственность за качество предоставляемых услуг, соблюдение договоренностей и выполнение обязательств перед клиентом.";"El proveedor es responsable de la calidad del servicio, el cumplimiento de acuerdos y las obligaciones con el cliente."
"legal.terms.section5.subsection3.title";"5.3. Ответственность поставщика услуги";"5.3. Responsabilidad del proveedor"
"legal.terms.section5.title";"5. Ответственность сторон";"5. Responsabilidad de las partes"
"legal.terms.title";"Условия использования";"Términos del servicio"
"maintenance.description";"Сайт временно недоступен. Зайдите позже или войдите в аккаунт, если у вас есть доступ.";"El sitio no está disponible por el momento. Vuelve a intentarlo más tarde o inicia sesión si tienes acceso."
"maintenance.refresh";"Обновить страницу";"Actualizar página"
"maintenance.signIn";"Вход";"Iniciar sesión"
"maintenance.title";"Техническое обслуживание";"En mantenimiento"
"nav.authentication.authentication";"Authentication";"Autenticación"
"nav.authentication.forgotPassword";"Forgot Password";"Olvidé mi contraseña"
"nav.authentication.forgotPasswordSide";"Side";"Lateral"
"nav.authentication.forgotPasswordSimple";"Simple";"Simple"
"nav.authentication.forgotPasswordSplit";"Split";"Dividida"
"nav.authentication.otpVerification";"Otp Verification";"Verificación OTP"
"nav.authentication.otpVerificationSide";"Side";"Lateral"
"nav.authentication.otpVerificationSimple";"Simple";"Simple"
"nav.authentication.otpVerificationSplit";"Split";"Dividida"
"nav.authentication.resetPassword";"Reset Password";"Restablecer contraseña"
"nav.authentication.resetPasswordSide";"Side";"Lateral"
"nav.authentication.resetPasswordSimple";"Simple";"Simple"
"nav.authentication.resetPasswordSplit";"Split";"Dividida"
"nav.authentication.signIn";"Sign In";"Iniciar sesión"
"nav.authentication.signInSide";"Side";"Lateral"
"nav.authentication.signInSimple";"Simple";"Simple"
"nav.authentication.signInSplit";"Split";"Dividida"
"nav.authentication.signUp";"Sign Up";"Registrarse"
"nav.authentication.signUpSide";"Side";"Lateral"
"nav.authentication.signUpSimple";"Simple";"Simple"
"nav.authentication.signUpSplit";"Split";"Dividida"
"nav.business.advertisements.ads";"Рекламные объявления";"Publicidad"
"nav.business.advertisements.advertisements";"Объявления";"Anuncios"
"nav.business.advertisements.list";"Мои объявления";"Mis anuncios"
"nav.business.billing";"Биллинг";"Facturación"
"nav.business.business";"Бизнес";"Negocio"
"nav.business.businessDesc";"Панель управления бизнесом";"Panel de gestión del negocio"
"nav.business.clients";"Клиенты";"Clientes"
"nav.business.dashboard";"Дашборд";"Panel"
"nav.business.discounts";"Скидки";"Descuentos"
"nav.business.reports";"Отчёты";"Reportes"
"nav.business.reviews";"Отзывы";"Reseñas"
"nav.business.schedule.reports.bookings.byPeriod";"Динамика бронирований";"Dinámica de reservas"
"nav.business.schedule.reports.bookings.byStatus";"Распределение по статусам";"Distribución por estado"
"nav.business.schedule.reports.bookings.title";"Отчеты по бронированиям";"Reportes de reservas"
"nav.business.schedule.reports.bookings.topServices";"Топ услуг";"Servicios principales"
"nav.business.schedule.reports.clients.newClients";"Новые клиенты";"Clientes nuevos"
"nav.business.schedule.reports.clients.title";"Отчеты по клиентам";"Reportes de clientes"
"nav.business.schedule.reports.clients.topByBookings";"Топ клиентов по бронированиям";"Principales clientes por reservas"
"nav.business.schedule.reports.clients.topByRevenue";"Топ клиентов по доходу";"Principales clientes por ingresos"
"nav.business.schedule.reports.description";"Детальная аналитика по бронированиям, клиентам, заработку и исполнителям. Экспортируйте данные для дальнейшего анализа.";"Análisis detallado de reservas, clientes, ingresos y especialistas. Exporta datos para análisis adicional."
"nav.business.schedule.reports.export.download";"Скачать отчёт";"Descargar reporte"
"nav.business.schedule.reports.export.error";"Ошибка при экспорте";"Error al exportar"
"nav.business.schedule.reports.filters.dateFrom";"Дата начала";"Fecha inicial"
"nav.business.schedule.reports.filters.dateTo";"Дата окончания";"Fecha final"
"nav.business.schedule.reports.filters.month";"Месяц";"Mes"
"nav.business.schedule.reports.filters.period";"Период";"Periodo"
"nav.business.schedule.reports.filters.quarter";"Квартал";"Trimestre"
"nav.business.schedule.reports.filters.reset";"Сбросить";"Restablecer"
"nav.business.schedule.reports.filters.selectPeriod";"Выберите период";"Seleccionar periodo"
"nav.business.schedule.reports.filters.today";"Сегодня";"Hoy"
"nav.business.schedule.reports.filters.week";"Неделя";"Semana"
"nav.business.schedule.reports.filters.year";"Год";"Año"
"nav.business.schedule.reports.overview.activeBookings";"Активных";"Activas"
"nav.business.schedule.reports.overview.activeSpecialists";"Активных исполнителей";"Especialistas activos"
"nav.business.schedule.reports.overview.averageCheck";"Средний чек";"Ticket promedio"
"nav.business.schedule.reports.overview.cancelledBookings";"Отменено";"Canceladas"
"nav.business.schedule.reports.overview.completedBookings";"Завершено";"Completadas"
"nav.business.schedule.reports.overview.revenueInWork";"Доход в работе";"Ingresos en curso"
"nav.business.schedule.reports.overview.title";"Общая статистика";"Resumen"
"nav.business.schedule.reports.overview.totalBookings";"Всего бронирований";"Total de reservas"
"nav.business.schedule.reports.overview.totalRevenue";"Общий заработок";"Ingresos totales"
"nav.business.schedule.reports.overview.uniqueClients";"Уникальных клиентов";"Clientes únicos"
"nav.business.schedule.reports.revenue.byPeriod";"Динамика доходов";"Dinámica de ingresos"
"nav.business.schedule.reports.revenue.byService";"По услугам";"Ingresos por servicio"
"nav.business.schedule.reports.revenue.bySpecialist";"По исполнителям";"Ingresos por especialista"
"nav.business.schedule.reports.revenue.title";"Отчеты по заработку";"Reportes de ingresos"
"nav.business.schedule.reports.specialists.active";"Активных";"Activas"
"nav.business.schedule.reports.specialists.averageCheck";"Средний чек";"Ticket promedio"
"nav.business.schedule.reports.specialists.bookingsCount";"Бронирований";"Reservas"
"nav.business.schedule.reports.specialists.cancellations";"Отмен";"Cancelaciones"
"nav.business.schedule.reports.specialists.completed";"Завершено";"Completadas"
"nav.business.schedule.reports.specialists.revenue";"Заработок";"Ingresos"
"nav.business.schedule.reports.specialists.title";"Отчеты по исполнителям";"Reportes de especialistas"
"nav.business.schedule.reports.table.amount";"Сумма";"Monto"
"nav.business.schedule.reports.table.client";"Клиент";"Cliente"
"nav.business.schedule.reports.table.date";"Дата";"Fecha"
"nav.business.schedule.reports.table.number";"#";"#"
"nav.business.schedule.reports.table.service";"Услуга";"Servicio"
"nav.business.schedule.reports.table.specialist";"Исполнитель";"Especialista"
"nav.business.schedule.reports.table.status";"Статус";"Estado"
"nav.business.schedule.reports.table.time";"Время";"Hora"
"nav.business.schedule.reports.title";"Отчеты";"Reportes"
"nav.business.schedule.schedule";"Расписание";"Horarios"
"nav.business.settings";"Настройки";"Configuración"
"nav.calendar";"Календарь";"Calendario"
"nav.calendarDesc";"Расписание и события";"Agenda y eventos"
"nav.chat";"Чат";"Chat"
"nav.chatDesc";"Чат с друзьями";"Chatear"
"nav.concepts";"Концепты";"Conceptos"
"nav.conceptsAccount.account";"Аккаунт";"Cuenta"
"nav.conceptsAccount.accountDesc";"Настройки и информация аккаунта";"Configuración e información de la cuenta"
"nav.conceptsAccount.activityLog";"Журнал активности";"Registro de actividad"
"nav.conceptsAccount.activityLogDesc";"Просмотр недавней активности";"Ver actividad reciente"
"nav.conceptsAccount.pricing";"Цены";"Precios"
"nav.conceptsAccount.pricingDesc";"Просмотр тарифных планов";"Ver planes y precios"
"nav.conceptsAccount.rolesPermissions";"Роли и права";"Roles y permisos"
"nav.conceptsAccount.rolesPermissionsDesc";"Управление ролями и правами";"Gestionar roles y permisos"
"nav.conceptsAccount.settings";"Настройки";"Configuración"
"nav.conceptsAccount.settingsDesc";"Настройка параметров";"Ajustar tu configuración"
"nav.conceptsAi.ai";"ИИ";"IA"
"nav.conceptsAi.aiDesc";"Инструменты и ресурсы ИИ";"Herramientas y recursos de IA"
"nav.conceptsAi.chat";"Чат";"Chat"
"nav.conceptsAi.chatDesc";"Чат-системы на основе ИИ";"Chats con IA"
"nav.conceptsAi.image";"Изображения";"Imagen"
"nav.conceptsAi.imageDesc";"Обработка изображений ИИ";"Procesamiento de imágenes con IA"
"nav.conceptsCustomers.customerCreate";"Создать";"Crear"
"nav.conceptsCustomers.customerCreateDesc";"Добавить нового клиента";"Agregar cliente nuevo"
"nav.conceptsCustomers.customerDetails";"Детали";"Detalles"
"nav.conceptsCustomers.customerDetailsDesc";"Подробная информация о клиенте";"Información detallada del cliente"
"nav.conceptsCustomers.customerEdit";"Редактировать";"Editar"
"nav.conceptsCustomers.customerEditDesc";"Редактировать информацию о клиенте";"Editar datos del cliente"
"nav.conceptsCustomers.customerList";"Список";"Lista"
"nav.conceptsCustomers.customerListDesc";"Список всех клиентов";"Lista de todos los clientes"
"nav.conceptsCustomers.customers";"Клиенты";"Cliente"
"nav.conceptsCustomers.customersDesc";"Управление клиентами";"Gestión de clientes"
"nav.conceptsHelpCenter.article";"Статья";"Artículo"
"nav.conceptsHelpCenter.articleDesc";"Читать статьи поддержки";"Leer artículos de ayuda"
"nav.conceptsHelpCenter.editArticle";"Редактировать статью";"Editar artículo"
"nav.conceptsHelpCenter.editArticleDesc";"Изменение содержимого статьи";"Modificar contenido del artículo"
"nav.conceptsHelpCenter.faq";"FAQ";"Preguntas frecuentes"
"nav.conceptsHelpCenter.helpCenter";"Центр помощи";"Centro de ayuda"
"nav.conceptsHelpCenter.helpCenterDesc";"Поддержка и статьи";"Soporte y artículos"
"nav.conceptsHelpCenter.manageArticle";"Управление статьями";"Gestionar artículo"
"nav.conceptsHelpCenter.manageArticleDesc";"Управление статьями";"Administración de artículos"
"nav.conceptsHelpCenter.supportHub";"Центр поддержки";"Centro de soporte"
"nav.conceptsHelpCenter.supportHubDesc";"Центральный хаб поддержки";"Hub central de soporte"
"nav.conceptsOrders.orderCreate";"Создать";"Crear"
"nav.conceptsOrders.orderCreateDesc";"Создать новый заказ";"Crear pedido nuevo"
"nav.conceptsOrders.orderDetails";"Детали";"Detalles"
"nav.conceptsOrders.orderDetailsDesc";"Подробная информация о заказе";"Información detallada del pedido"
"nav.conceptsOrders.orderEdit";"Редактировать";"Editar"
"nav.conceptsOrders.orderEditDesc";"Редактировать заказ";"Editar detalles del pedido"
"nav.conceptsOrders.orderList";"Список";"Lista"
"nav.conceptsOrders.orderListDesc";"Просмотр всех заказов";"Ver todos los pedidos"
"nav.conceptsOrders.orders";"Заказы";"Pedidos"
"nav.conceptsOrders.ordersDesc";"Управление заказами клиентов";"Gestión de pedidos de clientes"
"nav.conceptsProducts.productCreate";"Создать";"Crear"
"nav.conceptsProducts.productCreateDesc";"Добавить новый товар";"Agregar producto nuevo"
"nav.conceptsProducts.productEdit";"Редактировать";"Editar"
"nav.conceptsProducts.productEditDesc";"Редактировать товар";"Editar detalles del producto"
"nav.conceptsProducts.productList";"Список";"Lista"
"nav.conceptsProducts.productListDesc";"Все товары";"Todos los productos"
"nav.conceptsProducts.products";"Товары";"Productos"
"nav.conceptsProducts.productsDesc";"Управление товарами";"Inventario de productos"
"nav.conceptsProjects.projectDetails";"Детали";"Detalles"
"nav.conceptsProjects.projectDetailsDesc";"Подробная информация о проекте";"Información detallada del proyecto"
"nav.conceptsProjects.projectIssue";"Проблемы";"Incidencias"
"nav.conceptsProjects.projectIssueDesc";"Решение проблем проекта";"Resolver incidencias del proyecto"
"nav.conceptsProjects.projectList";"Список";"Lista"
"nav.conceptsProjects.projectListDesc";"Организация всех проектов";"Organizar todos los proyectos"
"nav.conceptsProjects.projectTasks";"Задачи";"Tareas"
"nav.conceptsProjects.projectTasksDesc";"Управление задачами проекта";"Gestionar tareas del proyecto"
"nav.conceptsProjects.projects";"Проекты";"Proyectos"
"nav.conceptsProjects.projectsDesc";"Управление и отслеживание проектов";"Gestionar y seguir proyectos"
"nav.conceptsProjects.scrumBoard";"Scrum доска";"Tablero Scrum"
"nav.conceptsProjects.scrumBoardDesc";"Управление рабочим процессом Scrum";"Flujo de trabajo Scrum"
"nav.dashboard.analytic";"Аналитика";"Analítica"
"nav.dashboard.dashboard";"Дашборды";"Panel"
"nav.dashboard.ecommerce";"Ecommerce";"Comercio electrónico"
"nav.dashboard.marketing";"Маркетинг";"Marketing"
"nav.dashboard.project";"Проекты";"Proyecto"
"nav.examples";"Примеры";"Ejemplos"
"nav.fileManager";"Файловый менеджер";"Archivos"
"nav.fileManagerDesc";"Управление файлами";"Gestión de archivos"
"nav.guide.changeLog";"История изменений";"Historial de cambios"
"nav.guide.documentation";"Документация";"Documentación"
"nav.guide.guide";"Гайды";"Guía"
"nav.guide.sharedComponentDoc";"Общие компоненты";"Componente compartido"
"nav.guide.utilsDoc";"Утилиты";"Utilidades"
"nav.home";"Главная";"Inicio"
"nav.mail";"Почта";"Correo"
"nav.mailDesc";"Управление почтой";"Administrar correos"
"nav.others.accessDenied";"Access Denied";"Acceso denegado"
"nav.others.accessDeniedDesc";"Access denied page";"Página de acceso denegado"
"nav.others.landing";"Landing";"Landing"
"nav.others.landingDesc";"Landing page";"Página de aterrizaje"
"nav.others.others";"Others";"Otros"
"nav.pages.accessDenied";"Access Denied";"Acceso denegado"
"nav.pages.pages";"Pages";"Páginas"
"nav.pages.welcome";"Welcome";"Bienvenida"
"nav.superadmin.activityLog";"Журнал активности";"Registro de actividad"
"nav.superadmin.advertisements.ads";"Рекламные объявления";"Publicidad"
"nav.superadmin.advertisements.advertisements";"Объявления";"Anuncios"
"nav.superadmin.advertisements.list";"Все объявления";"Todos los anuncios"
"nav.superadmin.billing";"Биллинг";"Facturación"
"nav.superadmin.businessEvents";"Бизнес-события";"Eventos de negocios"
"nav.superadmin.categories";"Категории";"Categorías"
"nav.superadmin.companies";"Компании";"Empresas"
"nav.superadmin.dashboard";"Дашборд";"Panel"
"nav.superadmin.health";"Здоровье платформы";"Salud de la plataforma"
"nav.superadmin.modules";"Модули";"Módulos"
"nav.superadmin.reviews";"Отзывы";"Reseñas"
"nav.superadmin.settings";"Настройки";"Configuración"
"nav.superadmin.superadmin";"Суперадмин";"Superadmin"
"nav.superadmin.superadminDesc";"Панель суперадминистратора";"Panel del superadministrador"
"nav.superadmin.users";"Пользователи";"Usuarios"
"nav.uiComponents";"UI Компоненты";"Componentes UI"
"nav.uiComponentsCommon.button";"Кнопка";"Botón"
"nav.uiComponentsCommon.buttonDesc";"Интерактивные кнопки";"Botones interactivos"
"nav.uiComponentsCommon.common";"Общие";"Común"
"nav.uiComponentsCommon.commonDesc";"Общие UI элементы";"Elementos UI comunes"
"nav.uiComponentsCommon.grid";"Сетка";"Cuadrícula"
"nav.uiComponentsCommon.gridDesc";"Система сетки макета";"Sistema de cuadrícula"
"nav.uiComponentsCommon.icons";"Иконки";"Iconos"
"nav.uiComponentsCommon.iconsDesc";"Набор визуальных иконок";"Conjunto de iconos"
"nav.uiComponentsCommon.typography";"Типографика";"Tipografía"
"nav.uiComponentsCommon.typographyDesc";"Инструменты стилизации текста";"Estilos de texto"
"nav.uiComponentsDataDisplay.avatar";"Аватар";"Avatar"
"nav.uiComponentsDataDisplay.avatarDesc";"Фотографии профиля";"Fotos de perfil"
"nav.uiComponentsDataDisplay.badge";"Значок";"Insignia"
"nav.uiComponentsDataDisplay.badgeDesc";"Индикаторы статуса";"Indicadores de estado"
"nav.uiComponentsDataDisplay.calendar";"Календарь";"Calendario"
"nav.uiComponentsDataDisplay.calendarDesc";"Выбор даты";"Selectores de fecha"
"nav.uiComponentsDataDisplay.cards";"Карточки";"Tarjetas"
"nav.uiComponentsDataDisplay.cardsDesc";"Карточки контента";"Tarjetas de contenido"
"nav.uiComponentsDataDisplay.dataDisplay";"Отображение данных";"Visualización de datos"
"nav.uiComponentsDataDisplay.dataDisplayDesc";"Компоненты для отображения данных";"Componentes para mostrar datos"
"nav.uiComponentsDataDisplay.table";"Таблица";"Tabla"
"nav.uiComponentsDataDisplay.tableDesc";"Таблицы данных";"Tablas de datos"
"nav.uiComponentsDataDisplay.tag";"Тег";"Etiqueta"
"nav.uiComponentsDataDisplay.tagDesc";"Теги меток";"Etiquetas"
"nav.uiComponentsDataDisplay.timeline";"Временная шкала";"Línea de tiempo"
"nav.uiComponentsDataDisplay.timelineDesc";"Временные шкалы событий";"Líneas de tiempo de eventos"
"nav.uiComponentsDataDisplay.tooltip";"Подсказка";"Tooltip"
"nav.uiComponentsDataDisplay.tooltipDesc";"Всплывающие подсказки";"Tooltips al pasar el cursor"
"nav.uiComponentsFeedback.alert";"Уведомление";"Alerta"
"nav.uiComponentsFeedback.alertDesc";"Уведомления";"Alertas de notificación"
"nav.uiComponentsFeedback.dialog";"Диалог";"Diálogo"
"nav.uiComponentsFeedback.dialogDesc";"Модальные окна";"Ventanas modales"
"nav.uiComponentsFeedback.drawer";"Выдвижная панель";"Panel lateral"
"nav.uiComponentsFeedback.drawerDesc";"Боковые панели";"Paneles laterales"
"nav.uiComponentsFeedback.feedback";"Обратная связь";"Retroalimentación"
"nav.uiComponentsFeedback.feedbackDesc";"Компоненты обратной связи";"Componentes de retroalimentación"
"nav.uiComponentsFeedback.progress";"Прогресс";"Progreso"
"nav.uiComponentsFeedback.progressDesc";"Индикаторы прогресса";"Indicadores de progreso"
"nav.uiComponentsFeedback.skeleton";"Скелетон";"Esqueleto"
"nav.uiComponentsFeedback.skeletonDesc";"Скелетоны загрузки";"Carga con esqueleto"
"nav.uiComponentsFeedback.spinner";"Спиннер";"Cargando"
"nav.uiComponentsFeedback.spinnerDesc";"Спиннеры загрузки";"Indicadores de carga"
"nav.uiComponentsFeedback.toast";"Всплывающее уведомление";"Notificación"
"nav.uiComponentsFeedback.toastDesc";"Всплывающие уведомления";"Notificaciones tipo toast"
"nav.uiComponentsForms.checkbox";"Чекбокс";"Casilla"
"nav.uiComponentsForms.checkboxDesc";"Чекбоксы";"Casillas de verificación"
"nav.uiComponentsForms.datePicker";"Выбор даты";"Selector de fecha"
"nav.uiComponentsForms.datePickerDesc";"Выбор дат";"Seleccionar fechas"
"nav.uiComponentsForms.formControl";"Управление формой";"Control de formulario"
"nav.uiComponentsForms.formControlDesc";"Элементы управления формой";"Controles de formulario"
"nav.uiComponentsForms.forms";"Формы";"Formularios"
"nav.uiComponentsForms.formsDesc";"Элементы форм";"Elementos de formulario"
"nav.uiComponentsForms.input";"Поле ввода";"Campo"
"nav.uiComponentsForms.inputDesc";"Текстовые поля";"Campos de texto"
"nav.uiComponentsForms.inputGroup";"Группа полей";"Grupo de campos"
"nav.uiComponentsForms.inputGroupDesc";"Группированные поля";"Campos agrupados"
"nav.uiComponentsForms.radio";"Радиокнопка";"Opción"
"nav.uiComponentsForms.radioDesc";"Радиокнопки";"Botones de opción"
"nav.uiComponentsForms.segment";"Сегмент";"Segmento"
"nav.uiComponentsForms.segmentDesc";"Сегменты ввода";"Segmentos de entrada"
"nav.uiComponentsForms.select";"Выпадающий список";"Selector"
"nav.uiComponentsForms.selectDesc";"Выпадающие списки";"Listas desplegables"
"nav.uiComponentsForms.slider";"Слайдер";"Deslizador"
"nav.uiComponentsForms.sliderDesc";"Слайдеры ввода";"Deslizadores"
"nav.uiComponentsForms.switcher";"Переключатель";"Interruptor"
"nav.uiComponentsForms.switcherDesc";"Переключатели";"Interruptores"
"nav.uiComponentsForms.timeInput";"Ввод времени";"Hora"
"nav.uiComponentsForms.timeInputDesc";"Поля ввода времени";"Entrada de hora"
"nav.uiComponentsForms.upload";"Загрузка";"Subida"
"nav.uiComponentsForms.uploadDesc";"Загрузка файлов";"Subida de archivos"
"nav.uiComponentsGraph.charts";"Диаграммы";"Gráficas"
"nav.uiComponentsGraph.chartsDesc";"Различные диаграммы";"Diversas gráficas"
"nav.uiComponentsGraph.graph";"Графики";"Gráficos"
"nav.uiComponentsGraph.graphDesc";"Графические элементы";"Elementos gráficos"
"nav.uiComponentsGraph.maps";"Карты";"Mapas"
"nav.uiComponentsGraph.mapsDesc";"Географические карты";"Mapas geográficos"
